height,temperature,wind_speed,u,v,surface_heat_flux
10,281.06,7.9375,-2.185266,-7.6307073,-2.6008484
20,280.97998,8.47,-2.3395114,-8.140421,-2.6008484
40,280.79498,8.955,-2.4759853,-8.605805,-2.6008484
60,280.61,9.2475,-2.5571957,-8.88679,-2.6008484
80,280.425,9.4675,-2.6152437,-9.098996,-2.6008484
100,280.235,9.65,-2.6636214,-9.274964,-2.6008484
120,280.0475,9.8025,-2.7024455,-9.422462,-2.6008484
140,279.85748,9.945,-2.737582,-9.560617,-2.6008484
160,279.66998,10.0725,-2.7680504,-9.684501,-2.6008484
180,279.47998,10.1975,-2.7985668,-9.805777,-2.6008484
200,279.29248,10.315,-2.8260787,-9.920102,-2.6008484
220,279.10748,10.435,-2.8563356,-10.036255,-2.6008484
240,278.91998,10.555,-2.8861146,-10.152538,-2.6008484
260,278.735,10.67,-2.9181292,-10.262993,-2.6008484
280,278.555,10.785,-2.9483333,-10.373964,-2.6008484
300,278.3775,10.9,-2.9833746,-10.483571,-2.6008484
400,277.57,11.8475,-3.3707194,-11.357771,-2.6008484
500,277.0625,12.975,-4.0626826,-12.321997,-2.6008484
